problem_name,mechanistic_setting,dataset,sampling_strategy,par_row,array_nr,epochs_adam,epochs_bfgs,lr_adam,stepnorm_bfgs,λ_reg,act_fct,hidden_layers,hidden_neurons,tolerance,MSE,nMSE,runtime,loss,negLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,332,500,1000,0.01,0.001,0.001,tanh,3,4,1E-12,0.000435081679915,0.000990968214831,19.31155,-771.960108865263,-771.964220626141
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,410,500,1000,0.01,0.001,1,rbf,2,4,1E-12,0.000304633011227,0.000689453759688,12.1486166666667,-784.581215104444,-786.194778007044
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,420,500,1000,0.0001,1E-05,0.001,rbf,3,4,1E-12,0.00275364221621,0.008203539460469,12.5432,-632.587507999596,-632.588157446889
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,485,500,1000,0.001,0.0001,100,gelu,1,4,1E-12,0.004961617055169,0.011748934890883,6.00798333333333,-561.467406264246,-602.352535514988
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,482,500,1000,0.0001,1E-05,1,gelu,1,4,1E-12,0.000824018949424,0.001775145549638,6.03318333333333,-708.079890057475,-710.333838764135
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,481,500,1000,0.0001,1E-05,100,gelu,1,4,1E-12,0.00275801071466,0.006730244142634,6.30158333333333,-605.606928316536,-650.875485411919
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,493,500,1000,0.1,0.01,100,gelu,1,4,1E-12,0.001945821799981,0.004479425884365,5.80401666666667,-617.307128862433,-664.530763365874
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,484,500,1000,0.0001,1E-05,0.001,gelu,1,4,1E-12,0.000887140702674,0.001735445093546,6.36771666666667,-699.996301850617,-699.99804914059
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,427,500,1000,0.01,0.001,0.01,rbf,3,4,1E-12,0.000410883310736,0.00099821545259,13.1974166666667,-776.505749419341,-776.526678814809
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,486,500,1000,0.001,0.0001,1,gelu,1,4,1E-12,0.000611889132944,0.001804672117087,6.28531666666667,-736.338886485683,-739.272432306146
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,425,500,1000,0.01,0.001,100,rbf,3,4,1E-12,0.024161792244508,0.077885063815646,13.5851833333333,-365.990728364543,-373.680540181269
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,488,500,1000,0.001,0.0001,0.001,gelu,1,4,1E-12,0.000907748369941,0.001727635828613,6.47115,-715.285432215483,-715.290531960943
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,422,500,1000,0.001,0.0001,1,rbf,3,4,1E-12,0.001935425197153,0.006028898741425,13.68925,-677.320165706246,-678.388080315381
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,409,500,1000,0.01,0.001,100,rbf,2,4,1E-12,0.023653840420497,0.076135420147826,13.4399666666667,-364.487262229324,-373.180132354093
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,426,500,1000,0.01,0.001,1,rbf,3,4,1E-12,0.003155373845606,0.009620164274534,13.7283666666667,-648.616720967093,-649.398682219607
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,489,500,1000,0.01,0.001,100,gelu,1,4,1E-12,0.00546800496593,0.013290919299401,6.70308333333333,-555.79524314063,-602.803950801905
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,487,500,1000,0.001,0.0001,0.01,gelu,1,4,1E-12,0.000821210370181,0.001549713340402,6.8195,-717.172357740368,-717.231078962674
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,430,500,1000,0.1,0.01,1,rbf,3,4,1E-12,0.003497717926653,0.008926045672078,12.69955,-613.401237294221,-616.932766492581
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,406,500,1000,0.001,0.0001,1,rbf,2,4,1E-12,0.042587522213284,0.093823543188037,13.9832666666667,-275.129739858235,-276.006527799082
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,491,500,1000,0.01,0.001,0.01,gelu,1,4,1E-12,0.000599383694414,0.001710541514016,6.77146666666667,-737.377681815221,-737.416380726061
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,416,500,1000,0.1,0.01,0.001,rbf,2,4,1E-12,0.000328994252605,0.000774348661277,13.6243166666667,-787.866561799975,-787.869862200852
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,490,500,1000,0.01,0.001,1,gelu,1,4,1E-12,0.000486485551713,0.001356810086996,6.96333333333333,-743.50268664369,-746.1698958278
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,435,500,1000,0.0001,1E-05,0.01,rbf,1,8,1E-12,0.00064948657854,0.001492233241594,11.6337166666667,-711.129243246078,-711.135260361317
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,424,500,1000,0.001,0.0001,0.001,rbf,3,4,1E-12,0.001180546332728,0.004699856819561,15.1900833333333,-702.179557739286,-702.180494507397
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,446,500,1000,0.1,0.01,1,rbf,1,8,1E-12,0.000432157057766,0.001083406023315,11.70155,-769.061170120915,-775.29323562736
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,437,500,1000,0.001,0.0001,100,rbf,1,8,1E-12,0.001385981829537,0.002221706703813,12.3383,-616.688555966061,-660.748473548243
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,433,500,1000,0.0001,1E-05,100,rbf,1,8,1E-12,0.003522775154916,0.007830380891926,12.70405,-584.343331523072,-613.131388875682
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,439,500,1000,0.001,0.0001,0.01,rbf,1,8,1E-12,0.106790026208589,0.266756522965396,12.4145333333333,-179.312153209539,-179.321341932552
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,438,500,1000,0.001,0.0001,1,rbf,1,8,1E-12,0.000391316814093,0.000948465506407,12.49235,-772.465841610828,-773.474259851631
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,498,500,1000,0.0001,1E-05,1,gelu,2,4,1E-12,0.00220073577474,0.004655433501801,8.95228333333333,-659.838396481763,-660.508357903864
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,505,500,1000,0.01,0.001,100,gelu,2,4,1E-12,0.003403891087506,0.007702332491521,8.43135,-593.247920868283,-650.10630543102
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,447,500,1000,0.1,0.01,0.01,rbf,1,8,1E-12,0.000380227809847,0.000873799361939,13.1069666666667,-777.625490574085,-777.658708694593
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,499,500,1000,0.0001,1E-05,0.01,gelu,2,4,1E-12,0.001453139699374,0.002513221267334,9.0128,-662.30562742596,-662.314756358194
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,501,500,1000,0.001,0.0001,100,gelu,2,4,1E-12,0.006679260288017,0.016885890171415,8.82601666666667,-535.884667497889,-563.756066282181
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,494,500,1000,0.1,0.01,1,gelu,1,4,1E-12,0.000680266940653,0.001422415204154,9.6905,-711.843073363301,-726.155497098671
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,500,500,1000,0.0001,1E-05,0.001,gelu,2,4,1E-12,0.003832723608019,0.018637999342226,9.1958,-613.829457826968,-613.830172730645
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,503,500,1000,0.001,0.0001,0.01,gelu,2,4,1E-12,0.001198567196502,0.003002244809178,9.35775,-690.161235805417,-690.171999655904
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,492,500,1000,0.01,0.001,0.001,gelu,1,4,1E-12,0.000634056346655,0.001830170320206,9.3285,-737.43038580372,-737.433856066841
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,504,500,1000,0.001,0.0001,0.001,gelu,2,4,1E-12,0.000935845056977,0.002118780416375,10.0627333333333,-710.101239471836,-710.103387700402
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,506,500,1000,0.01,0.001,1,gelu,2,4,1E-12,0.000553847985439,0.001532070574351,10.29785,-757.038225430275,-758.642486998651
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,510,500,1000,0.1,0.01,1,gelu,2,4,1E-12,0.000456005479534,0.001263961190828,10.1211833333333,-764.424810341612,-768.550514833175
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,495,500,1000,0.1,0.01,0.01,gelu,1,4,1E-12,0.00067484948389,0.001501633456376,11.4076333333333,-726.845585670047,-727.132053154846
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,421,500,1000,0.001,0.0001,100,rbf,3,4,1E-12,0.023786089719649,0.076870360712459,18.6218333333333,-368.516025148296,-374.932572709814
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,531,500,1000,0.0001,1E-05,0.01,gelu,1,8,1E-12,0.001378467642341,0.00252870090815,9.05853333333333,-683.588832605123,-683.601810584021
